project,year,grants
FDU/01 Human resources and Light technical equipment,2021,215027
FDU/01 Multipurpose Operational Activities LAND,2021,9352.87
FDU/01 Technical Equipment,2019,58960179.6
FDU/01 Technical Equipment,2020,452193
FDU/01/Heavy Technical  Equipment,2021,1488333
FDU/01/Heavy Technical Equipment,2020,13046227.66
FDU/01/Heavy Technical Equipment,2021,57796869.5
FDU/01/Heavy Technical Equipment Indalo,2021,558601
FDU/01/Heavy Technical Equipment Posedion,2021,254038
FDU/01/Heavy Technical Equipment Rapid Border Intervention,2020,1478878.04
FDU/01/Human Resources,2020,1223167.74
FDU/01/Human Resources/DNP,2020,607119
FDU/01/Human Resources/Heavy Equipment,2020,1204286.47
FDU/01/Human Resources/Heavy Technical Equipment,2020,3235566.12
FDU/01/Human Resources/Heavy Technical Technical Equipment,2020,31048934.75
FDU/01/Human Resources/Light Technical Equipment,2020,12929782.34
FDU/01/Human Resources/Light Technical Technical Equipment,2019,306646.26
FDU/01/Human Resources/Light Technical Technical Equipment,2020,33184202.72
FDU/01/Human Resources/SEF,2020,217952
FOA Western Balkans,2021,100868.9
FOA-R 2017,2018,6424948
FOA-R 2022 - PRE-RETURN ACTIVITIES,2022,34813
FOU/01/Heavy Technical Equipment,2022,67764716
FOU/Heavy Technical Equipment,2022,2610339
FSC-GR/Human Resources/Light Technical Equipment,2020,14568
FSC/01,2021,48022
FSC/01 FSC FIMO Deployment,2017,59721
FSC/01 FSC Support Officer Deployment,2016,315886
FSC/01 FSC Support Officer Deployment,2017,594919
FSC/01 Fusion Services,2015,84697
FSC/01 Human resources and Light  technical equipment,2021,133856
FSC/01 Human resources and Light technical equipment,2021,1784580
"FSC/01 Situational monitoring, deployment of GOs",2018,73570
FSC/02 - Frontex Support Officers FSC 2012,2012,251376.32
FSC/02 FSC FIMO Deployment,2017,93812
FSC/02 FSC Support Officer Deployment,2016,557495
FSC/02 FSC Support Officer Deployment,2017,381994
FSC/03 FSC Support Officer Deployment,2014,339909.02
