project,year,grants
ROS/21 JRO to Nigeria,2014,370505.2
ROS/21 JRO to Nigeria & Ghana,2012,375767.57
ROS/21 JRO to Pakistan,2015,111174
ROS/22 JRO to Ecuador,2014,2108
ROS/22 JRO to Nigeria,2011,363791.92
ROS/22 JRO to Nigeria,2012,196089.8
ROS/22 JRO to Nigeria,2013,202625.13
ROS/23 JRO to Albania & Georgia,2014,311181.2
ROS/23 JRO to Ecuador & Colombia,2012,941.64
ROS/23 JRO to Kosovo,2011,101070.8
ROS/24 JRO Kosovo,2015,49730
ROS/24 JRO to DR of Congo,2013,43746.58
ROS/24 JRO to Serbia and FYR of Macedonia,2014,76193.65000000001
ROS/24 JRO to Ukraine and Georgia,2011,277794.51
ROS/25 JRO to Armenia and Georgia,2012,141366.56999999998
ROS/25 JRO to Nigeria,2014,272300.63
ROS/25 JRO to Nigeria,2015,324022
ROS/25 JRO to Serbia,2013,125259.2
ROS/26 JRO to Kosovo,2014,39071.97
ROS/26 JRO to Kosovo,2015,115967
ROS/26 JRO to Nigeria,2011,5705.1
ROS/26 JRO to Nigeria,2013,313635.54
ROS/26 Joint Operation to Kosovo,2012,149940.14
ROS/27 JRO to Colombia and Ecuador,2011,2322.5
ROS/27 JRO to Kosovo,2014,187973
ROS/27 JRO to Nigeria,2013,286165.93
ROS/27 JRO to Serbia and FYROM,2015,94145
ROS/27 JRO to Ukraine & Georgia,2012,284044.95
ROS/28 CJRO to Albania,2015,75226
ROS/28 JRO to FYROM and Serbia,2013,154398.16
ROS/28 JRO to Kosovo,2011,83657.12
ROS/28 JRO to Nigeria,2012,302077.48
ROS/28 JRO to Pakistan,2014,1233.8
ROS/29 JRO to Albania,2015,150444
ROS/29 JRO to Colombia & Ecuador,2013,322876.77999999997
ROS/29 JRO to Nigeria,2011,250767.12999999998
ROS/29 JRO to Serbia,2012,110441.19
ROS/30 JRO Kosovo,2015,104123
ROS/30 JRO to Iraq,2011,339870.53
ROS/30 JRO to Kosovo,2013,171000.06
ROS/30 JRO to Nigeria,2014,412975.7
ROS/31 JRO to Georgia,2014,118979.04
ROS/31 JRO to Nigeria,2012,403039.2
ROS/31 JRO to Nigeria&Cote d'Ivore,2015,409852
ROS/31 JRO to Serbia,2011,83509
ROS/31 JRO to Serbia,2013,102081
ROS/32 JRO to Albania&Kosovo,2015,106056
ROS/32 JRO to Kosovo,2012,139695.06
ROS/32 JRO to Nigeria,2011,296051.22000000003
ROS/32 JRO to Nigeria,2013,175477.3
ROS/32 JRO to Serbia&Bosnia- Herzegovina,2014,118117.92
ROS/33 JRO to Albania,2014,220679.23
ROS/33 JRO to DRC,2015,84302
ROS/33 JRO to Gambia,2012,198445.14
ROS/33 JRO to Nigeria and DRC,2011,198581.24
ROS/34 JRO to Albania,2013,197113.2
ROS/34 JRO to Democratic Republic of Congo,2014,30587.81
ROS/34 JRO to Georgia,2012,169164.41
ROS/34 JRO to Nigeria,2011,242493.91
ROS/35 JRO to Albania and Serbia,2014,102309.5
ROS/35 JRO to Nigeria,2012,294294.98
ROS/35 JRO to Nigeria,2013,210297.99
ROS/35 JRO to Russia,2015,78535
ROS/36 Collecting JRO to Georgia,2014,137299.32
ROS/36 JRO to Albania,2015,73006
ROS/36 JRO to Nigeria,2013,313071.7
ROS/36 JRO to Pakistan,2012,408174.32
ROS/36 JRO to Ukraine and Georgia,2011,205440.61
ROS/37 JRO to Kosovo,2011,119479.01999999999
ROS/37 JRO to Nigeria,2015,306895
ROS/37 JRO to Pakistan,2013,495393.53
ROS/37 JRO to Pakistan,2014,438522
ROS/37 JRO to Serbia,2012,82531.38
ROS/38 JRO to Georgia & Ukraine,2013,281110.73
ROS/38 JRO to Kosovo,2012,138231.63999999998
ROS/38 JRO to Kosovo,2014,84638.5
ROS/38 JRO to Kosovo,2015,130466
ROS/38 JRO to Nigeria,2011,212571.38
ROS/39 JRO to Albania&Georgia,2015,95602
ROS/39 JRO to Georgia,2013,121304.38
ROS/39 JRO to Serbia,2011,100914.54000000001
ROS/39 JRO to Serbia,2014,110848.1
ROS/40 JRO to Colombia & Ecuador,2013,317006
ROS/40 JRO to Georgia and Albania,2014,252713.49000000002
ROS/40 JRO to Georgia and Armenia,2011,93365.06
ROS/40 JRO to Kosovo,2015,102071
ROS/40 JRO to Serbia,2012,173192.98
ROS/41 JRO to DRC,2013,11498.6
ROS/41 JRO to Iraq,2011,191037.8
ROS/41 JRO to Kosovo,2014,39696.6
ROS/41 JRO to Kosovo,2015,64365
ROS/41 JRO to Nigeria,2012,419037.46
ROS/42 JRO to Albania,2013,121230.12
ROS/42 JRO to Georgia and Armecia,2012,210681.3
ROS/42 JRO to Kosovo,2015,120007
ROS/42 JRO to Nigeria,2014,407112.63
ROS/42 JRO to Pakistan,2011,537138.2000000001
ROS/43 JRO to Colombia and Dominican Republic,2011,455938.17000000004
ROS/43 JRO to Nigeria,2012,252557.16
ROS/43 JRO to Nigeria,2013,210501.93
ROS/43 JRO to Nigeria,2014,89250.64
ROS/43 JRO to Nigeria,2015,265079
ROS/43 JRO to Russia,2014,19663.68
ROS/44 CRJO to Albania,2015,2139
ROS/44 JRO to FYROM,2013,51000
ROS/44 JRO to FYROM,2014,12884.22
ROS/44 JRO to Kosovo,2011,125549.54999999999
ROS/44 JRO to Kosovo,2014,104698.78
ROS/44 JRO to Ukraine & Georgia,2012,214361.5
ROS/44 JRO to Ukraine & Georgia,2013,35953.83
ROS/45 Collecting JRO to Albania,2014,61200
ROS/45 Collecting JRO to Albania,2015,6227
ROS/45 JRO to Iraq,2011,185721.82
ROS/45 JRO to Kosovo,2015,109024
ROS/45 JRO to Nigeria,2013,3961.8
ROS/45 JRO to Serbia,2013,45900
ROS/45 JRO to Serbia,2014,39004.3
ROS/45 JRO to nigeria,2012,289626.04
ROS/45 JRO to nigeria,2013,40271.5
ROS/46 JRO to Albania,2013,71400
ROS/46 JRO to Albania,2014,40989.3
ROS/46 JRO to Bosnia&Herzegovina,2014,51000
ROS/46 JRO to Bosnia&Herzegovina,2015,7784
ROS/46 JRO to Nigeria,2011,284761.81
ROS/46 JRO to Nigeria,2012,252557.16
ROS/46 JRO to Nigeria,2013,78664.24
ROS/46 JRO to Pakistan,2015,255580
ROS/47 JRO to Armenia,2015,143004
"ROS/47 JRO to Lagos, Nigeria",2011,292095.65
ROS/47 JRO to Pakistan,2012,408174.32
ROS/47 JRO to Pakistan,2013,143644.94999999998
ROS/47 JRO to Ukraine&Georgia,2013,204000
ROS/47 JRO to Ukraine&Georgia,2014,37211.4
ROS/48 JRO to Albania,2015,119494
ROS/48 JRO to Armenia and Georgia,2011,65906
ROS/48 JRO to Colombia&Dominican Republic,2014,187674
ROS/48 JRO to Nigeria,2012,202769.2
ROS/48 JRO to Nigeria,2013,195864.6
ROS/48 JRO to Nigeria,2014,180760.4
ROS/49 JRO to Macedonia,2012,101776
ROS/49 JRO to Macedonia,2013,45533.02
ROS/49 JRO to Nigeria,2011,126522.6
ROS/49 JRO to Nigeria,2012,26190.02
ROS/49 JRO to Nigeria,2014,193800
ROS/49 JRO to Nigeria,2015,69940
ROS/49 JRO to Serbia&FYROM,2013,153000
ROS/49 JRO to Serbia&FYROM,2014,13359.5
ROS/50 JRO to Bosnia&Herzegovina,2013,45900
ROS/50 JRO to Bosnia&Herzegovina,2014,152747.27
ROS/50 JRO to Colombia and Ecuador,2011,489721.29
ROS/50 JRO to Nigeria,2015,315113
ROS/50 JRO tp Colombia and Ecudaor,2012,22659.64
ROS/51 JRO to Kosovo,2015,89297
ROS/51 JRO to Nigeria,2011,216278.78
ROS/51 JRO to Nigeria,2012,95513.63
ROS/52 CJRO to Georgia,2015,107123
ROS/52 JRO to Kosovo,2011,69632.9
ROS/52 JRO to Kosovo,2012,66176.42
ROS/53 JRO to Albania&Georgia,2015,8351
ROS/53 JRO to Serbia,2011,59302.9
ROS/53 JRO to Serbia,2012,26568.9
ROS/54 JRO to Kosovo,2015,165840
ROS/54 JRO to Ukraine&Georgia,2011,173560
ROS/54 JRO to Ukraine&Georgia,2012,85343.58
ROS/55 JRO to DRC,2015,171458
ROS/55 JRO to Nigeria,2011,126624.6
ROS/55 JRO to Nigeria,2012,168654.88
ROS/56 JRO to Nigeria,2015,218890
ROS/57 JRO to Nigeria,2015,327867
ROS/58 JRO to Armenia & Georgia,2015,218409
ROS/58 JRO to Nigeria,2012,265378.95999999996
ROS/59 JRO to Kosovo,2015,73383
ROS/60 JRO to Nigeria,2015,259702
ROS/61 CJRO to Serbia,2015,52765
ROS/62 JRO to Albania,2015,161458
ROS/63 JRO to Pakistan,2015,259524
ROS/64 JRO to Albania,2015,18086
ROS/65 JRO to Kosovo,2015,131030
ROS/66 JRO to Western Balkans,2015,228342
ROS/67 JRO to Georgia&Armenia,2015,182066
ROS/68 JRO to Kosovo,2015,100043
ROS/69 JRO to Nigeria,2015,46444
ROS/71 JRO to Albania and Former Yugoslav Republic of Macedonia,2015,65380
RSU/01,2016,1135857
RSU/01,2018,6751378.45
RSU/01 CJRO to Albania,2016,529860
RSU/01 CJRO to Albania,2017,18008
RSU/01 CJRO to Albania and FYRoMacedonia,2016,185718
RSU/01 CJRO to Albania and Georgia,2016,368
RSU/01 CJRO to Albania and Kosovo,2016,15633
RSU/01 CJRO to Albania and Pakistan,2016,47645
RSU/01 CJRO to Albania&FYROM,2016,1669
RSU/01 CJRO to Georgia,2016,370055
RSU/01 CJRO to Georgia,2017,3050
RSU/01 CJRO to Serbia and JRO to Kosovo,2016,159702
RSU/01 CRO,2018,5489.1
RSU/01 CRO to Albania,2017,2103456
RSU/01 CRO to Albania,2018,32062.55
RSU/01 CRO to Albania and Pakistan,2017,43694
RSU/01 CRO to Georgia,2017,244615
RSU/01 CRO to Georgia,2018,20591.1
RSU/01 CRO to Georgia and Kosovo,2017,175503
RSU/01 CRO to Kosovo,2017,3689
RSU/01 CRO to Montenegro,2018,2621.5
RSU/01 CRO to Serbia,2017,44170
RSU/01 CRO to Serbia and Albania,2017,46273
RSU/01 CRO to Serbia and RO to Nigeria,2017,69618
RSU/01 CRO to Ukraine,2017,2768
RSU/01 JRO Iraq,2016,188568
RSU/01 JRO Pakistan,2016,162750
RSU/01 JRO to Afghanistan,2016,146916
"RSU/01 JRO to Albaina, Armenia & Georgia, Serbia, FYR of Macedonia & Bosna & Herzegovina",2016,255954
"RSU/01 JRO to Albaina, Serbia & Georgia",2016,260591
RSU/01 JRO to Albania,2016,1366478
RSU/01 JRO to Albania,2017,436430
RSU/01 JRO to Albania & Ghana,2016,186631
"RSU/01 JRO to Albania & Kosovo, Albania & Serbia, and Kosovo",2016,352169
RSU/01 JRO to Albania and Alboania & Kosovo,2017,238565
RSU/01 JRO to Albania and Columbia and Dominican Republic,2016,9609
RSU/01 JRO to Albania and FYR of Macedonia,2016,105541
RSU/01 JRO to Albania and Georgia,2016,267741
RSU/01 JRO to Albania and Georgia,2017,285065
RSU/01 JRO to Albania and Kosovo,2016,249112
RSU/01 JRO to Albania and Kosovo,2017,54875
RSU/01 JRO to Albania and Nigeria,2017,61317
RSU/01 JRO to Albania and Pakistan,2016,136725
RSU/01 JRO to Albania and Pakistan,2017,153924
RSU/01 JRO to Albania and Serbia,2016,159542
RSU/01 JRO to Albania&Georgia,2016,835
RSU/01 JRO to Albania&Kosovo,2016,640954
RSU/01 JRO to Albania&Kosovo,2017,62520
RSU/01 JRO to Albania&Kosovo&Serbia,2017,215729
RSU/01 JRO to Albania&Serbia,2016,37286
"RSU/01 JRO to Albania, FYR of Macedonia, Bosnia & Herzegovina, India & Sri Lanka",2016,234341
"RSU/01 JRO to Albania, Kosovo and Macedonia",2016,360972
"RSU/01 JRO to Albania, Serbia, DRC and FYRoMcedonia",2016,131490
"RSU/01 JRO to Albia, Georgia, Colombia and Dominican Republic",2016,775608
RSU/01 JRO to Armenia,2016,79234
RSU/01 JRO to Armenia & Georgia,2016,166300
RSU/01 JRO to Armenia & Georgia,2017,27199
RSU/01 JRO to Armenia and Albania,2016,149772
RSU/01 JRO to Armenia and Georgia,2016,332558
RSU/01 JRO to Armenia on 26/07/2016,2016,11925
RSU/01 JRO to Armenia&Fyrom&Serbia,2016,297707
RSU/01 JRO to Armenia&Georgia,2016,254705
RSU/01 JRO to Armenia&Russia,2016,6788
"RSU/01 JRO to Armenia, Pakistan, Serbia nad FYROM",2016,140636
RSU/01 JRO to Bosnia&Herzegovina&Serbia,2016,149901
RSU/01 JRO to Colombia & Dominican Republic,2016,583450
RSU/01 JRO to Colombia & Dominican Republic and Armenia & Georgia,2016,867408
RSU/01 JRO to Colombia&Dominican Republic,2017,545694
RSU/01 JRO to DRC,2016,216510
RSU/01 JRO to Egypt and Sudan,2016,251376
RSU/01 JRO to FYR of Macedonia,2017,33973
RSU/01 JRO to FYR of Macedonia and Bosnia and Herzegovina,2016,6869
"RSU/01 JRO to FYR of Macedonia, Serbia, Albania, Kosovo",2016,462620
RSU/01 JRO to FYROMacedonia,2016,2108
RSU/01 JRO to FYROMacedonia and Tunisia,2016,155576
RSU/01 JRO to FYRoMacedonia,2017,108990
"RSU/01 JRO to FYRoMacedonia, Serbia, Armenia, Georgia and Kosovo",2016,306579
RSU/01 JRO to Former Yugoslavian Republic of Macedonia,2016,54624
RSU/01 JRO to Georgia,2016,81008
RSU/01 JRO to Georgia and Armenia,2016,131338
RSU/01 JRO to Georgia&Armenia,2016,139500
RSU/01 JRO to Georgia&Armenia,2017,383350
RSU/01 JRO to Ghana&Ivory Coast,2016,213150
RSU/01 JRO to Guinea and DR Congo,2016,268901
"RSU/01 JRO to Guinea and DR Congo, Albania and Serbia",2016,130146
RSU/01 JRO to Guinea&DR Congo,2016,3857
RSU/01 JRO to Guinea&DR Congo,2017,25023
RSU/01 JRO to India and Sri Lanka,2016,3280
RSU/01 JRO to Iraq,2016,545154
RSU/01 JRO to Kosovo,2016,1126420
RSU/01 JRO to Kosovo,2017,126104
RSU/01 JRO to Kosovo and Albania,2016,23042
RSU/01 JRO to Kosovo&Collecting JRO to Albania,2016,5592
RSU/01 JRO to Kosovo&Nigeria,2016,2438
RSU/01 JRO to Kosovo&Russia,2016,65486
"RSU/01 JRO to Kosovo, Albania and Serbia",2016,427119
"RSU/01 JRO to Kosovo, Albania, Montenegro and Nigeria",2016,346205
"RSU/01 JRO to Kosovo, Albania, Serbia, FYROM and CJRO to Georgia",2016,471510
"RSU/01 JRO to Kosovo, Georgia, Armenia",2017,153437
"RSU/01 JRO to Kosovo, Nigeria&Georgia",2016,5108
"RSU/01 JRO to Kosovo, Nigeria, Albania and Georgia",2017,213908
"RSU/01 JRO to Kosovo, Tunisia, Albania&Togo",2016,401370
"RSU/01 JRO to Kosovo,Georgia, Abania",2016,494689
"RSU/01 JRO to Kosovo,Nigeria&Pakistan",2017,173779
"RSU/01 JRO to Kosovo,Nigeria,Georgia&Armen ia",2017,224236
RSU/01 JRO to Lebanon,2016,144797
RSU/01 JRO to Macedonia,2016,16790
"RSU/01 JRO to Macedonia, Serbia&Pakistan",2016,202501
RSU/01 JRO to Moldova and Albania,2016,64947
RSU/01 JRO to Nigeria,2016,3472149
RSU/01 JRO to Nigeria,2017,1159383
RSU/01 JRO to Nigeria and Albania,2016,26591
RSU/01 JRO to Nigeria and Pakistan,2016,469350
RSU/01 JRO to Nigeria and to Armenia & Georgia,2016,22565
RSU/01 JRO to Nigeria&CJRO to Georgia,2016,122930
"RSU/01 JRO to Nigeria, Albania and Serbia",2016,183750
"RSU/01 JRO to Nigeria, Georgia&Armenia",2016,173367
RSU/01 JRO to Pakistan,2016,1709114
RSU/01 JRO to Pakistan,2017,424617
RSU/01 JRO to Pakistan and Kosovo,2016,96532
RSU/01 JRO to Russia,2016,191161
RSU/01 JRO to Russia,2017,76708
RSU/01 JRO to Russia and to Albania,2016,6140
RSU/01 JRO to Serbia,2016,220301
RSU/01 JRO to Serbia,2017,174611
RSU/01 JRO to Serbia and Albania,2016,181812
RSU/01 JRO to Serbia and Albania &Georgia&Armenia,2016,89737
RSU/01 JRO to Serbia and FYROM,2016,38320
RSU/01 JRO to Serbia and Kosovo,2016,265917
RSU/01 JRO to Serbia and Nigeria,2016,3173
RSU/01 JRO to Serbia&Albania,2016,4315
RSU/01 JRO to Serbia&FYROM,2017,75034
RSU/01 JRO to Serbia&FYROM&Georgia&Arme nia,2017,119034
"RSU/01 JRO to Serbia, Macedonia and Nigeria",2016,217732
RSU/01 JRO to Sri Lanka,2016,238825
RSU/01 JRO to Sri Lanka,2017,213662
RSU/01 JRO to Togo and Benin,2016,154261
RSU/01 JRO to Togo and Ghana,2017,146981
RSU/01 JRO to Ukraine and Kirgizstan,2017,212163
RSU/01 JRO to Ukraine and Kyrgyzstan and Afghanistan,2017,7798
"RSU/01 JROs to Albania, FYRON, Kosovo",2016,245877
"RSU/01 JROs to Albania, Serbia, Kosovo",2017,99358
RSU/01 JROs to Kosovo&Albania,2016,29672
"RSU/01 JROs to Kosovo, Albania and FYR of Macedonia.",2017,405798
"RSU/01 JROs to Tunisia, Egypt and Sudan",2016,1475600
"RSU/01 KOS, ALB, SER, FYR, RUS, NIG, PAK",2017,608823
RSU/01 NRO Germany,2017,1130362
RSU/01 NRO to Afghanistan,2016,94163
RSU/01 NRO to Afghanistan,2017,256971
RSU/01 NRO to Albania,2016,235610
RSU/01 NRO to Albania and FYR of Macedonia,2016,209790
"RSU/01 NRO to Albania,Afghanistan,Bosnia&He rcegovina,FYROM,Kosovo,Mold ova,Serbia,Russia&Tunisia",2017,392000
"RSU/01 NRO to FYR of Macedonia, Serbia, Kosovo, Albania, Gambia, Moldova",2016,501480
"RSU/01 NRO to FYR of Macedonia, Serbia, Kosovo, Albania, Tunisia, Bosnia & Herzegovina, Bangladesh, Afghanistan, Mali",2016,1568063
"RSU/01 NRO to FYR of Macedonia, Serbia, Kosovo, Albania, Tunisia, Bosnia & Herzegovina, Moldova, and Morocco",2016,381150
"RSU/01 NRO to FYR of Macedonia, Servia, Kosovo, Albania, Bosnia & Herzegovina, Afghanistan, Moldova, Tunisia and Russia",2017,1273913
RSU/01 NRO to FYROM,2017,298620
RSU/01 NRO to Former Yogoslavian Republic of Macedonia,2017,106575
"RSU/01 NRO to Former Yogoslavian Republic of Macedonia, Serbia,Kosovo, Albania,Bosnia&Herzegovina, Afghanistan,Moldova",2017,582980
RSU/01 NRO to Kosovo,2016,33673
RSU/01 NRO to Kosovo&Albania&Serbia&Georgia& Tunisia,2016,911550
RSU/01 NRO to Somalia,2016,150938
"RSU/01 NRO to Tunisia, Egypt&Sudan",2017,1717000
RSU/01 NRO to Turkey,2016,58743
RSU/01 NVRO to Iraq,2016,390174
RSU/01 National Return Operation to Afghanistan,2016,218709
"RSU/01 PAK, GEO, SER, ALB, KOS",2017,885500
RSU/01 RO,2018,16297630.15
RSU/01 RO to Afghanistan,2017,2174193
RSU/01 RO to Afghanistan & Kosovo,2017,445935
RSU/01 RO to Afghanistan and Russia,2017,84337
"RSU/01 RO to Afghanistan, Nigeria, Gambia",2017,312632
RSU/01 RO to Albania,2017,1633160
RSU/01 RO to Albania,2018,3925.55
RSU/01 RO to Albania & Georgia,2017,391230
"RSU/01 RO to Albania & Georgia, Russia and Albania",2017,128921
RSU/01 RO to Albania & Ukraine,2017,302694
RSU/01 RO to Albania / Kosovo / Pakistan,2018,111085.98
RSU/01 RO to Albania and FYR of Macedonia,2017,202020
RSU/01 RO to Albania and to Georgia/Armenia,2017,36113
"RSU/01 RO to Albania, Bosnia & Herzegovina, FYR of Macedonia, Kosovo, Moldova, Serbia, Armenia and Tunisia",2017,409857
"RSU/01 RO to Albania, Bosnia and Herzegovina, FYROM",2017,102699
"RSU/01 RO to Albania, Bosnia and Herzegovina, FYROM, Kosovo, Moldova, Macedonia, Serbia and Tunisia",2017,392070
"RSU/01 RO to Albania, CRO to Georgia",2017,173385
"RSU/01 RO to Albania, Pakistan",2017,11845
"RSU/01 RO to Albania. KOS, PAK, NIG, GHA",2018,18375.11
RSU/01 RO to Armenia&Georgia,2017,126074
RSU/01 RO to Azerbaijan,2017,44675
RSU/01 RO to Bosnia and Herzegovina,2017,24610
"RSU/01 RO to Bosnia and Herzegovina, Albania and Kosovo, CRO to Georiga, to Serbia",2017,241630
RSU/01 RO to Cameroon and Cote d'Ivoire,2017,225677
RSU/01 RO to Colombia and Dominican Republic,2017,7516
RSU/01 RO to Colombia and Peru,2017,1075217
"RSU/01 RO to Colombia, Dominicana Gambia",2017,462420
RSU/01 RO to Egypt&Sudan,2017,209056
RSU/01 RO to FYR of Macedonia and Pakistan,2017,96796
"RSU/01 RO to FYR of Macedonia, Serbia, Kosovo, Albania, Bangladesh, Bosnia & Herzegovina, Afghanistan, Moldova, Tunisia, Russia",2017,774745
RSU/01 RO to FYROM,2017,64307
"RSU/01 RO to FYRoMacedonia, Serbia, Kosovo, Albania, Bangladesh, Bosnia and Herzegovina, Afghanistan, Moldova, Tunisia, Russia",2017,542810
RSU/01 RO to Gambia,2017,187920
RSU/01 RO to Georgia,2017,282833
RSU/01 RO to Georgia,2018,2804.59
RSU/01 RO to Georgia & Armenia,2017,1883
RSU/01 RO to Georgia and Armenia,2017,145793
"RSU/01 RO to Georgia and Armenia, Nigeria and Gambia",2017,491534
RSU/01 RO to Georgia&Armenia,2017,29630
"RSU/01 RO to Georgia, Armenia, Nigeria, Gambia",2017,559506
"RSU/01 RO to Georgia/Armenia, Nigeria/Gambia",2017,149809
"RSU/01 RO to Georgia/Armenia, Pakistan, Nigeria/Gambia",2017,273622
RSU/01 RO to Ghana and DR Congo,2017,553501
RSU/01 RO to Guinea,2017,498383
RSU/01 RO to Guinea and DR Congo,2017,355657
"RSU/01 RO to Guinea, DR Congo",2017,516080
RSU/01 RO to Iraq,2016,188028
RSU/01 RO to Kosovo,2017,573074
RSU/01 RO to Kosovo & Lebanon,2017,148004
"RSU/01 RO to Kosovo , Albania, Georgia, Armenia, Egypt, Serbia and Montenegro",2017,274113
RSU/01 RO to Kosovo and Albania,2017,67297
RSU/01 RO to Kosovo and Georgia/Armenia,2017,156503
"RSU/01 RO to Kosovo, Albania, Nigeria, Georgia, Armenia, FYRoMacedonia, Serbia and Montenegro",2017,357932
"RSU/01 RO to Kosovo, Georgia and Albania",2017,132111
"RSU/01 RO to Kosovo, Nigeria and Albania",2017,175235
RSU/01 RO to Lebanon,2017,137651
RSU/01 RO to Moldova & Belarus,2018,122230.5
RSU/01 RO to Montenegro,2017,75
RSU/01 RO to Montenegro and Albania,2017,26825
RSU/01 RO to Montenegro and Pakistan,2017,5468
RSU/01 RO to Nigeria,2017,2320820
RSU/01 RO to Nigeria & Ghana,2017,326872
RSU/01 RO to Nigeria & Ghana,2018,96503.72
RSU/01 RO to Nigeria / Serbia / FYROM & CRO to Georgia,2017,264750
RSU/01 RO to Nigeria and Gambia,2017,222774
"RSU/01 RO to Nigeria, Egypt, Sudan, Tunisia",2017,1322445
"RSU/01 RO to Nigeria, Gambia",2017,181362
RSU/01 RO to PAK&ALB,2017,70815
RSU/01 RO to Pakistan,2017,3341823
RSU/01 RO to Pakistan and Kosovo,2017,423528
RSU/01 RO to Pakistan and to Nigeria,2017,13424
"RSU/01 RO to Pakistan and to Serbia, FYR of Macedonia and Kosovo",2017,211086
"RSU/01 RO to Pakistan, FYROM",2017,114137
RSU/01 RO to Russia,2017,97289
RSU/01 RO to Russia and Pakistan,2017,118917
"RSU/01 RO to SRB, FYROM & GEO",2018,426167.7
RSU/01 RO to Serbia and FYRoMacedonia,2017,80357
RSU/01 RO to Serbia and Montenegro,2017,75660
RSU/01 RO to Servia & Kosovo,2017,37878
RSU/01 RO to Sri Lanka,2017,74408
"RSU/01 RO to Tunisia, Sudan and Egypt",2016,648900
"RSU/01 RO to Tunisia, Sudan and Egypt",2017,721000
RSU/01 RO to Ukraine,2017,178024
"RSU/01 RO to Ukraine, Gambia, Kosovo and CRO to Serbia",2017,102587
RSU/01 ROs to Albania,2017,669380
RSU/01 ROs to Albania and Georgia,2017,220500
"RSU/01 ROs to Albania, Bosnia & Herzegovina, FYR of Macedonia, Kosovo, Moldova, Serbia, Armenia and Tunisia",2017,872652
"RSU/01 ROs to FYR of Macedonia, Serbia, Kosovo, Albania, Bosnia & Herzegovina, Afghanistan, Moldova, Tunisia, Russia",2017,883792
RSU/01 ROs to Kosovo and Serbia,2017,49220
"RSU/01 ROs to Nigeria & Ghana, and Pakistan",2017,125834
RSU/01 ROs to Serbia and Montenegro and to Russia,2017,105250
RSU/01 Return Operation to Albania,2017,53500
RSU/01 Return Operation to Nigeria,2017,139808
RSU/01 Return Operations to Nigeria,2017,282836
RSU/01 Return operations,2017,969961
RSU/01 to Albania,2016,68673
RSU/02,2016,21577
RSU/02 - FOA-R 2017,2017,174309
RSU/02 Deployment of Task Forces from Nigeria&Gambia,2017,138188
RSU/02 FOA,2016,183171
RSU/02 FOA & 2016/RSU/03 Poseidon Rapid Intervention/Readmission Activities,2016,43253
RSU/02 FOA Task Force from Mali to France,2016,5312
RSU/02 FOA in Return,2016,17513
"RSU/02 FOA, Task Force from Mali to Malta",2016,4455
RSU/02 FOA-R 2017,2017,35739
RSU/02 FOA-R from Ivory C. to Germany,2017,46355
RSU/02 RI FOA-R 2017,2017,284912
RSU/02-Pilot Project on Deployment NOR EURLO,2018,295726.83
RSU/03 EPN Poseidon,2016,1757528
RSU/03 EPN Poseidon,2017,42800
RSU/03 EPN Poseidon 2017/Readmission Activities,2017,57780
RSU/03 EPN Poseidon/Readmission Activities,2016,1980947
RSU/03 EPN Poseidon/Readmission Activities,2017,48631
RSU/03 JO Poseidon,2017,2858656
RSU/03 JO Poseidon 2017,2017,23113
RSU/03 JO Poseidon 2017/Readmission Activities,2017,89734
RSU/03 JO Poseidon/Readmission,2017,1232516
RSU/03 JO Poseidon/Readmission,2018,66493
RSU/03 Poseidon,2017,1760117
RSU/03 Poseidon Rapid Intervention,2016,135740
RSU/03 Poseidon Rapid Intervention/Readmission Activities,2016,4731768
SBS/01,2011,105312.20999999999
SBS/01 - EPN General 2011,2012,1795.16
SBS/01 - EPN General PP Reporting Tools,2011,14992.98
SBS/01 - EPN Indalo,2011,322332.76
SBS/01 EPN Aeneas 2011,2011,3990
SBS/01 EPN Aeneas 2011,2012,1546140.96
SBS/01 EPN General,2015,10209
SBS/01 EPN General 2016,2016,140371
SBS/01 EPN General 2016 - BSRBCC,2016,89547
SBS/01 EPN General-Reporting Tools-Reporting Staff Exchange,2012,28416.29
SBS/01 EPN-Aeneas 2011,2011,8420771.15
SBS/01 EPN-Aeneas 2011 4th Phase,2011,38769.95
SBS/01 EPN-Aeneas 2011 and EPN- Hermes 2011,2011,95901.94
SBS/01 EPN-Aeneas 2012,2012,2949822.69
SBS/01 EPN-General 2011,2011,19575.94
SBS/01 EPN-General 2011 Reporting Tools,2011,19728.27
SBS/01 EPN-General 2011 Reporting Tools - ICC Staff Exchange,2011,31013.15
SBS/01 EPN-General Pilot project Reporting Tools,2012,1443.15
SBS/01 EPN-General- BSRBCC seminars,2014,70554.55
SBS/01 EPN-Hera 2011,2011,3172987.73
SBS/01 EPN-Hera 2012,2012,2426035.09
SBS/01 EPN-Hermes 2012,2012,4049150.37
SBS/01 EPN-Hermes Extension,2011,11968788.93
SBS/01 EPN-Hermes Extension 2011,2012,991707.5900000001
SBS/01 EPN-Indalo,2011,6864255.34
SBS/01 EPN-Indalo 2012,2012,4804272.76
SBS/01 EPN-Minerva 2011,2011,597255.28
SBS/01 EPN-Minerva 2012,2012,763329.62
SBS/01 European Coast Guard Function Forum,2014,163553.75
SBS/01 JO EPN-Aeneas,2011,2856.19
SBS/01 JO Indalo Extension 2011,2011,18928.66
SBS/01 Mobile Operation Unit 2012,2012,110019.44
