X,Y,name,eur
12.829452144001367,66.64817681290312,Norway,30056438.48
-6.804957194893345,43.13870450959464,France,72881878.16
7.985654139168569,9.544975137569017,Nigeria,5425
43.78696128391442,33.00996908729928,Iraq,1617200
69.23494779711605,29.908118020443585,Pakistan,303960
16.108935740135948,62.418340911268466,Sweden,54236428.86
27.96490907959516,53.495307980184286,Belarus,67362.46
31.291984268014176,49.18677845483698,Ukraine,1107432.42
19.34353876068086,52.13396310668485,Poland,38674311.66
14.061123562530254,47.621010378005536,Austria,69035954.85
19.34273313177975,47.20337577038987,Hungary,14924090.53
28.4197895985866,47.196663840235,Moldova,1402662
24.95386648384871,45.85321844377536,Romania,55335580.85
23.888610405222924,55.28291384315397,Lithuania,25608570.13
24.840541034229606,56.81724694447365,Latvia,65879912.15
25.83009023971516,58.641572528709126,Estonia,15925887.28
10.270439759445992,51.077313338002355,Germany,238728545.31
25.187896659015447,42.755838186453786,Bulgaria,19378901.27
22.71989642069996,39.037323301661786,Greece,106690687.82
35.11721557874994,39.14506729110292,Turkey,185416.94
20.034096475810156,41.13420361919055,Albania,5729142.6
16.56667408629809,45.01007067549803,Croatia,14050455.97
8.11573931251641,46.79305119772165,Switzerland,11876521.02
5.965095895851521,49.765238838728635,Luxembourg,28578070.81
4.586922453190562,50.65275807487411,Belgium,19456618.59
5.500559798148927,52.293349860889414,Netherlands,72368844.48
-8.061202610968293,39.60704868648117,Portugal,86095486.99
-3.6243262694548766,40.320489962603574,Spain,141660867.84
-8.016862894806222,53.171685868770204,Ireland,1763634.73
12.26869715431819,42.67073633766661,Italy,223470941.16
9.88552853714108,56.05921342457555,Denmark,41452211.46
-2.759268662775721,53.80829908759101,United Kingdom,1594172.6500000001
-18.765540730319525,65.07986297139175,Iceland,48215066.51
43.49911231552648,42.16761165463341,Georgia,712678.26
14.933920448650428,46.12586538589687,Slovenia,7851319.77
26.14195114312059,64.2614345194079,Finland,31257521.49
19.49726936824877,48.7332386521085,Slovakia,6576562.06
33.03871953465883,34.90780740181401,Cyprus,1222821.39
29.860662731760716,26.474683210176618,Egypt,108347
21.696439078314427,41.60602382202817,North Macedonia,76360.24
20.837113166563526,44.222906393181006,Serbia,1523960.11
19.285593756716775,42.78821929607493,Montenegro,345697.14
20.895353812632678,42.57881008126916,Kosovo,330887.68
