country,year,grants
General Inspectorate of Aviation,2016,816851
General Inspectorate of the Romanian Border Police,2016,5353418
General Inspectorate of the Romanian Police,2016,155024
Georgia,2014,11209.67
Georgia,2015,15913
Georgia,2017,88701
Georgia,2018,110642.14
Georgia,2019,254098.25
Georgia,2020,43686.02
Georgia,2021,109389.31
Georgia,2022,79038.87
Germany,2008,2934705.73
Germany,2009,3658109.34
Germany,2010,3335825.29
Germany,2011,2785258.69
Germany,2012,2926264.61
Germany,2013,2150174.78
Germany,2014,1563368.13
Germany,2015,4798122
Germany,2017,27401274
Germany,2018,34156171.06
Germany,2019,36898938.29
Germany,2020,30894858.58
Germany,2021,44405461.29
Germany,2022,40820013.52
Greece,2008,3703923.33
Greece,2009,6245838.79
Greece,2010,3765194.54
Greece,2011,4627419.91
Greece,2012,4367923.84
Greece,2013,2994056.38
Greece,2014,2953561.5500000003
Greece,2015,7714759
Greece,2017,17337866
Greece,2018,12094112
Greece,2019,9180299.92
Greece,2020,6839206
Greece,2021,9312248.62
Greece,2022,15554277.94
Guardia Civil,2016,6773072
Headquarters of Polish Border Guards,2016,4655933
"Hellenic Ministry of Maritime Affairs and Insular Policy, Hellenic Coast Guard",2016,5044376
Hellenic Police,2016,8382337
Helsinki Police Department,2016,1628034
Hungarian Police Headquarters,2016,598150
Hungary,2008,284070.27
Hungary,2009,584090.6
Hungary,2010,609394.23
Hungary,2011,422841
Hungary,2012,211064.01
Hungary,2013,291921.73
Hungary,2014,240103.44
Hungary,2015,354742
Hungary,2017,1197720
Hungary,2018,1173148.32
Hungary,2019,781394.44
Hungary,2020,999305
Hungary,2021,3472702.12
Hungary,2022,4301593.37
Iceland,2008,4581.97
Iceland,2009,50811.14
Iceland,2010,4401473.6899999995
Iceland,2011,5161277.79
Iceland,2012,4317361.14
Iceland,2013,3641938.7600000002
Iceland,2014,4305755.71
Iceland,2015,4419452
Iceland,2017,5136774
Iceland,2018,3768413.7
Iceland,2019,3234829
Iceland,2020,2792047.54
Iceland,2021,3615334.91
Iceland,2022,3365015.16
Icelandic Coast Guard,2016,659270
Immigration and Naturalisation Service,2016,3519898
Iraq,2022,1617200
Ireland,2008,80573.8
Ireland,2009,409338.92
Ireland,2010,470031.37
Ireland,2011,188755.13999999998
Ireland,2012,188867.78
Ireland,2013,226177.9
Ireland,2014,13188.82
Ireland,2015,186701
Italy,2008,8920927.21
Italy,2009,4804261.29
Italy,2010,5911636.55
Italy,2011,16396740.28
Italy,2012,5849723.34
Italy,2013,5379240.01
Italy,2014,8433074.13
Italy,2015,17494703
Italy,2017,18634797
Italy,2018,19250150
Italy,2019,21303639.43
Italy,2020,19133369.73
Italy,2021,32500437.15
Italy,2022,39458242.04
Kosovo,2017,29015
Kosovo,2018,99814.95
Kosovo,2019,154789.41
Kosovo,2021,27156.6
Kosovo,2022,20111.72
Latvia,2008,97788.14
Latvia,2009,669823.88
Latvia,2010,2778952.9899999998
Latvia,2011,2293764.29
Latvia,2012,2873497.24
Latvia,2013,1125683.59
Latvia,2014,1644989.29
Latvia,2015,3172722
Latvia,2017,8250939
Latvia,2018,8463635
Latvia,2019,7909278.9
Latvia,2020,7555250
Latvia,2021,10186662.77
Latvia,2022,8856925.06
Lithuania,2008,344908.22000000003
Lithuania,2009,960183.75
Lithuania,2010,872657.57
Lithuania,2011,1178198.19
Lithuania,2012,1242244.34
Lithuania,2013,119935.71
Lithuania,2014,270951.42
Lithuania,2015,1032671
Lithuania,2017,2009698
Lithuania,2018,3056439.32
Lithuania,2019,3434380.38
Lithuania,2020,3605569
Lithuania,2021,3825392.8
Lithuania,2022,3655340.43
Luxembour,2020,3988066
Luxembourg,2008,1752451.8699999999
Luxembourg,2009,3508414.39
Luxembourg,2010,2825222.92
Luxembourg,2011,2482480.96
Luxembourg,2012,2427703.74
Luxembourg,2013,1497051.78
Luxembourg,2014,20517.95
Luxembourg,2015,73919
Luxembourg,2017,3395772
Luxembourg,2018,2977145.37
Luxembourg,2019,3109730
Luxembourg,2021,4507660.83
Luxemburg,2022,4316258.37
MIA Patrol Police Department of Georgia,2016,3050
Macedonia,2011,14086.74
Malta,2008,1257173.58
Malta,2009,1209147.82
Malta,2010,532473.59
Malta,2011,334105.33
Malta,2012,329058.75
Malta,2013,703481.44
Malta,2014,955685.2999999999
Malta,2015,1860314
Malta,2017,1973296
Malta,2018,745549
Malta,2019,645144
Malta,2020,348295
Malta,2021,1082413.19
Malta,2022,1222295.51
"Malta Police Force, Police General Headquarters",2016,24068
Marine Nationale - French Navy,2016,1106291
"Ministere de l'Interieur, Direction de la Securite Interieur, Police Grand-Ducale",2016,314739
"Ministere de l'interieur, Direction generale des etrangers",2016,1209604
"Ministero dell'Interno, Dipartimento della Pubblica Sicurezza,",2016,217322
"Ministero dell'Interno, Dipartimento della Pubblica Sicurezza, Direzione Centrale dell'Immigrazione e della Polizia delle Frontiere",2016,20719798
Ministry of Foreign Affairs,2016,51734
Ministry of Interior,2016,5064
Ministry of Interior - Police,2016,676921
Ministry of Interior of Republic of Serbia,2016,91309
Ministry of Interior of the Slovak Republic,2016,622
"Ministry of Interior, National Police Service, Chief Directorate Border Police",2016,2694127
"Ministry of Interior, Turkish National Police, International Relations Department",2016,57776
Ministry of Internal Affairs,2016,47588
"Ministry of the Interior, Directorate for Financial-Material Affairs",2016,879069
Moldova,2008,15232.8
Moldova,2009,12772.8
Moldova,2010,16868
Moldova,2011,26193.14
Moldova,2012,16363.98
Moldova,2013,23496.18
Moldova,2014,32505.87
Moldova,2015,17829
Moldova,2017,77879
Moldova,2018,71477.31
Moldova,2019,270614.55
Moldova,2021,85924.20999999999
Moldova,2022,735505.16
Montenegro,2012,9604.2
Montenegro,2015,667
Montenegro,2017,7426
Montenegro,2018,2621.5
Montenegro,2019,2696.4
Montenegro,2020,31798.26
Montenegro,2021,176583.17
Montenegro,2022,114300.61
National Operations Department,2016,5598355
National Police Directorate,2016,10096198
National Police Immigration Service,2016,1151804
Netherlands,2009,760870.29
Netherlands,2010,2155872.68
Netherlands,2011,4828666.75
Netherlands,2012,4159645.74
Netherlands,2013,2203445.21
